Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 129.0.0.0,,,16-10-2024 15:08:25,16-10-2024 15:11:20,2m - 54.615s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 129.0.0.0,,,16-10-2024 15:08:26,16-10-2024 15:09:21,55.180s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:08:29,16-10-2024 15:09:13,44.073s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,16-10-2024 15:09:13,16-10-2024 15:09:15,2.385s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:09:15,16-10-2024 15:09:19,3.369s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:09:21,16-10-2024 15:09:21,0.007s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 129.0.0.0,,,16-10-2024 15:09:21,16-10-2024 15:10:14,53.746s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:09:22,16-10-2024 15:10:10,47.869s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,16-10-2024 15:10:10,16-10-2024 15:10:10,0.032s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:10:10,16-10-2024 15:10:12,2.265s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:10:14,16-10-2024 15:10:14,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 129.0.0.0,,,16-10-2024 15:10:14,16-10-2024 15:10:52,37.238s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:10:15,16-10-2024 15:10:46,30.179s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,16-10-2024 15:10:46,16-10-2024 15:10:47,1.760s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:10:47,16-10-2024 15:10:50,2.258s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:10:52,16-10-2024 15:10:52,0.002s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 129.0.0.0,,,16-10-2024 15:10:52,16-10-2024 15:11:20,28.091s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:10:52,16-10-2024 15:11:13,21.294s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,16-10-2024 15:11:13,16-10-2024 15:11:15,1.928s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:11:15,16-10-2024 15:11:18,2.285s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:11:20,16-10-2024 15:11:20,0.001s,PASSED
